Data;Região;Tipologia;Nº Utentes;ID
2020-02-01;ALENTEJO;ULDM;79;2020-02-01T00:00:00/ALENTEJO/ULDM
2020-02-01;CENTRO;ECCI;41;2020-02-01T00:00:00/CENTRO/ECCI
2020-02-01;CENTRO;RAMo;2;2020-02-01T00:00:00/CENTRO/RAMo
2020-02-01;CENTRO;UC;68;2020-02-01T00:00:00/CENTRO/UC
2020-02-01;LISBOA E VALE DO TEJO;ECCI;18;2020-02-01T00:00:00/LISBOA E VALE DO TEJO/ECCI
2020-02-01;LISBOA E VALE DO TEJO;RAMo;12;2020-02-01T00:00:00/LISBOA E VALE DO TEJO/RAMo
2020-02-01;LISBOA E VALE DO TEJO;UMDR;209;2020-02-01T00:00:00/LISBOA E VALE DO TEJO/UMDR
2020-02-01;NORTE;RAMa;20;2020-02-01T00:00:00/NORTE/RAMa
2020-02-01;ALENTEJO;ECCI;19;2020-02-01T00:00:00/ALENTEJO/ECCI
2020-02-01;ALGARVE;ECCI;8;2020-02-01T00:00:00/ALGARVE/ECCI
2020-02-01;ALGARVE;UC;13;2020-02-01T00:00:00/ALGARVE/UC
2020-02-01;ALGARVE;UMDR;7;2020-02-01T00:00:00/ALGARVE/UMDR
2020-02-01;NORTE;ECCI;177;2020-02-01T00:00:00/NORTE/ECCI
2020-02-01;NORTE;UMDR;196;2020-02-01T00:00:00/NORTE/UMDR
2020-02-01;ALENTEJO;UMDR;22;2020-02-01T00:00:00/ALENTEJO/UMDR
2020-02-01;CENTRO;ULDM;303;2020-02-01T00:00:00/CENTRO/ULDM
2020-02-01;LISBOA E VALE DO TEJO;UC;108;2020-02-01T00:00:00/LISBOA E VALE DO TEJO/UC
2020-02-01;LISBOA E VALE DO TEJO;ULDM;278;2020-02-01T00:00:00/LISBOA E VALE DO TEJO/ULDM
2020-02-01;NORTE;UCP;15;2020-02-01T00:00:00/NORTE/UCP
2020-02-01;ALENTEJO;UC;55;2020-02-01T00:00:00/ALENTEJO/UC
2020-02-01;ALENTEJO;UCP;11;2020-02-01T00:00:00/ALENTEJO/UCP
2020-02-01;ALGARVE;ULDM;38;2020-02-01T00:00:00/ALGARVE/ULDM
2020-02-01;LISBOA E VALE DO TEJO;RA;2;2020-02-01T00:00:00/LISBOA E VALE DO TEJO/RA
2020-02-01;LISBOA E VALE DO TEJO;RAMa;14;2020-02-01T00:00:00/LISBOA E VALE DO TEJO/RAMa
2020-02-01;LISBOA E VALE DO TEJO;RTA;4;2020-02-01T00:00:00/LISBOA E VALE DO TEJO/RTA
2020-02-01;LISBOA E VALE DO TEJO;UCP;34;2020-02-01T00:00:00/LISBOA E VALE DO TEJO/UCP
2020-02-01;NORTE;UC;50;2020-02-01T00:00:00/NORTE/UC
2020-02-01;ALENTEJO;RAMo;4;2020-02-01T00:00:00/ALENTEJO/RAMo
2020-02-01;CENTRO;UMDR;86;2020-02-01T00:00:00/CENTRO/UMDR
2020-02-01;NORTE;ULDM;119;2020-02-01T00:00:00/NORTE/ULDM
2020-01-31;ALENTEJO;RAMo;4;2020-01-31T00:00:00/ALENTEJO/RAMo
2020-01-31;CENTRO;ECCI;41;2020-01-31T00:00:00/CENTRO/ECCI
2020-01-31;NORTE;RAMa;20;2020-01-31T00:00:00/NORTE/RAMa
